emdb_id,group,resolution (Å),rise_deposited (Å),twist_deposited (°),csym_deposited,curated_rise (Å),curated_twist (°),curated_csym,vector difference,axes order,cc_emdb,cc_curated,validated,update,reason,reason 1,reason 2
EMD-47092,amyloid,4.41,4.82,-0.93,C2,4.82,-0.93,C2,4.739920754,,0.96473319,0.96473319,Yes,equal,deposited,,
EMD-43585,non-amyloid,4.24,43.22,-18.56,C14,43.22,18.56,C14,43.38310729,,0.738915824,0.98976541,Yes,improve,twist sign,,
EMD-45610,non-amyloid,3.2,0.692,153.94,C1,1.562729861,-58.9497609,1,24.41624497,,,0.619207213,No,equal,,,
EMD-19863,non-amyloid,5.5,2.53,62.4,C1,2.493055266,-62.41211613,1,43.27969645,,0.535392538,0.926073585,No,improve,,,
EMD-19864,non-amyloid,6.4,2.13,53.15,C1,2.131135821,-53.14630694,1,61.42622063,,0.510376267,0.932991951,No,improve,,,
EMD-45130,amyloid,2.31,4.69,2.58,C1,1.90E-05,-7.97E-07,1,4.744207583,,0.691325847,,No,equal,,,
EMD-50803,non-amyloid,3.2,2.86924,14.732,C1,2.858820848,-14.7339863,1,86.61956537,,0.053528679,0.816676141,No,improve,,,
EMD-37751,non-amyloid,2.4,3.59,-56.07,C1,-2.02E-05,2.16E-05,1,19.92930901,,0.205482642,,No,equal,,,
EMD-42294,amyloid,3.1,4.84,-0.84,C1,2.393324079,179.4999711,1,45.08722943,,0.746275137,0.728665073,No,equal,,,
EMD-46621,non-amyloid,24.5,1.37,-6.89,C1,69.62705304,6.6142345,1,68.38538202,,,0.806600366,No,equal,,,
EMD-18430,non-amyloid,6.6,1.76,84.9,C1,1.751399564,-84.8845551,1,14.98614199,,,,No,equal,,,
EMD-44636,non-amyloid,3,1.162,46.52,C2,3.466391326,-40.45737821,2,19.53544587,,0.963073182,0.874841934,No,equal,,,
EMD-18428,non-amyloid,6.3,1.96,-95.7,C1,1.952709999,95.75125603,1,14.93960991,,0.471137138,0.898982434,No,improve,,,
EMD-44637,non-amyloid,2.8,1.312,63.37,C2,3.018319259,-57.64632526,2,10.34153286,,0.961816835,0.128423034,No,worse,,,
EMD-18426,non-amyloid,6.9,2.18,83.4,C1,2.188499219,-83.43610966,1,14.42172792,,0.375668169,0.876522037,No,improve,,,
EMD-18432,non-amyloid,6.6,1.57,-94.6,C1,1.584022392,94.6340206,1,14.94643247,,,,No,equal,,,
EMD-38108,amyloid,3,4.80805,1.37857,C1,2.404520612,-179.3059659,1,56.13780777,,0.909287062,0.911407166,No,equal,,,
EMD-35972,amyloid,2.5,4.77,-2.17,C1,2.387681619,178.9146365,1,44.18133878,,0.801737186,0.635301058,No,worse,,,
EMD-38103,amyloid,3.4,4.79952,1.60397,C1,2.399570295,-179.199568,1,55.99369071,,0.940637722,0.942019541,No,equal,,,
EMD-31367,non-amyloid,2.9,3.49,-16.82,C1,3.502732132,-26.83471107,1,12.85008475,,0.039560322,0.817752465,No,improve,,,
EMD-50272,amyloid,3.9,4.9058,-0.7381,C1,1.794997001,-6.702166224,1,4.228194075,,0.809926954,0.258914871,No,worse,,,
EMD-17678,non-amyloid,2.35,2.782,164.175,C1,5.55765471,31.64405777,1,42.47174088,,0.11148564,0.32359678,No,improve,,,
EMD-60959,non-amyloid,2.08,65.305,4.801,C1,4.800305494,65.30442416,1,70.31118805,,0.481887033,0.970543353,No,improve,,,
EMD-36909,non-amyloid,15.5,22.3,-100,C1,43.25526493,160.0877498,1,33.17141857,,0.969457169,0.95368358,No,equal,,,
EMD-41274,non-amyloid,3.84,17.49,-167.25,C1,27.31799353,-167.1388168,1,9.828029691,,0.476873718,0.88714995,No,improve,,,
EMD-36911,non-amyloid,16.8,30.6,-137.2,C1,86.77887237,-53.91186341,1,59.7820058,,0.991059048,0.959357525,No,equal,,,
EMD-19758,non-amyloid,3.39,13.241,28.983,C1,2.646527837,-66.18526082,1,23.07655654,,0.886657825,0.876014174,No,equal,,,
EMD-44391,non-amyloid,8.1,36.1,101.9,C1,0,0,1,37.31170198,,0.639243945,,No,equal,,,
EMD-50814,non-amyloid,20,27.5,162,C1,0,0,1,31.1114462,,0.97473384,,No,equal,,,
EMD-50845,non-amyloid,20,27.5,162,C1,0,0,1,30.28871886,,0.765111622,,No,equal,,,
